Ch#,Book,Divine Name,Book Name,Book Theme,Chapter Title,Geometry Icon,Stone,Element,Temple Space,Story Stage,Dimension,Fractal Gate,Spiritual Frequency,Book Color,Tribe,Prophet (PRF),Prophet (PRF),Apostle,Directional Mapping
1,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",Leadership Begins at the Altar,Square,Sardius,Fire,Altar,Exposition,1 Glory,Revelation,Deep Stillness,Red,Reuben,Hosea,,,
2,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory","The Tripartite Leader: Spirit, Soul, and Body",Equilateral Triangle,Topaz,Fire,Altar,Rising Action,6 Image,Internalization,Triune Tone,Red,Simeon,Joel,,,
3,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",Why We Had to Leave Eden,2D Spiral,Emerald,Fire,Altar,Climax,2 Presence,Embodiment,Exilic Echo,Red,Levi,Amos,,,
4,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",Formation in Exile: The Purpose of the Fall,Isometric Cube,Carbuncle,Fire,Altar,Falling Action,4 Word,Integration,Structure Hum,Red,Judah,Obadiah,,,
5,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",The Seed Hidden in the Dust,Monad Unity Point,Onyx,Fire,Altar,Resolution,7 Name,Hidden (North),Subterranean Hum,Red,Dan,Jonah,,,North
6,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,"Jesus as the Tree of Life, the Flaming Sword, and the Cosmic Unifier",Tetrahedron + Rays,Sapphire,Air,Holy Place,Exposition,6 Image,Revelation,Tree Flame Pulse,Blue,Naphtali,Micah,,,
7,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Divine Pattern: YHWH‚ Structure and the Wings of Wisdom,Hexagonal Mandala,Diamond,Air,Holy Place,Rising Action,4 Word,Internalization,Wings of Wisdom Vibration,Blue,Gad,Nahum,,,
8,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Pattern Keeper: Heaven‚ Interface and Leadership Design,Octahedron,Ligure,Air,Holy Place,Climax,2 Presence,Embodiment,Guardian Harmonic,Blue,Asher,Habakkuk,,,
9,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Fractal Pattern of Leadership,Fibonacci Spiral,Agate,Air,Holy Place,Falling Action,5 Spirit,Integration,Recursive Tone,Blue,Issachar,Zephaniah,,,
10,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Invisible Root System of Authority,Fractal Tree,Amethyst,Air,Holy Place,Resolution,7 Name,Hidden (South),Root Resonance,Blue,Zebulun,Haggai,,,South
